
1,"Пираты «Чёрной лагуны»","Black Lagoon",#🎬
2,"Мифический дух: Хроники 2","Seirei Gensouki 2nd Season",#🎬
3,"Ниер: Автомата — Версия 1.1а","NieR: Automata Ver 1.1a",#🎬
4,"Арифурэта: Сильнейший ремесленник в мире 3","Arifureta Shokugyou de Sekai Saikyou Season 3",#🎬
5,"На этот раз одержи победу над императором драконов, благородная девушка!","Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu",#🎬
6,"Король демонов, попытайтесь снова! R","Maou-sama, Retry! R",#🎬
7,"Незнакомцы в другой жизни","Raise wa Tanin ga Ii",#🎬
8,"Нападение одиночки на иной мир","Hitoribocchi no Isekai Kouryaku",#🎬
9,"Плачущий призрак на пенсии","Nageki no Bourei wa Intai shitai",#🎬
10,"Рубеж Шангри-Ла: Любитель игрошлака бросает вызов топ-игре 2","Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",#🎬
11,"Башня Бога: Битва при Мастерской","Kami no Tou: Koubou-sen",#🎬
12,"Ария по прозвищу Алая Пуля: Дважды «А»","Hidan no Aria AA",#📝
13,"Фука","Fuuka",#📝
14,"Непризнанный школой владыка демонов! 2. Часть 2","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II Part 2",#📝
15,"Старшая карта","High Card",#📝
16,"Военная хроника маленькой девочки 2","Youjo Senki II",#📝
17,"Аватар короля 3","Quanzhi Gaoshou 3",#📝
18,"Добро пожаловать в класс превосходства 3","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season",#📝
19,"Жизнь с моей сводной сестрой","Gimai Seikatsu",#📝
20,"Стесняшка","Shy",#📝
21,"Соблазн 2,5-мерного измерения","2.5-jigen no Ririsa",#📝
22,"О моём перерождении в меч 2","Tensei shitara Ken deshita 2",#📝
23,"Мир отомэ-игр — это тяжёлый мир для мобов 2","Otome Game Sekai wa Mob ni Kibishii Sekai desu 2",#📝
24,"Королевство руин","Hametsu no Oukoku",#📝
25,"Псевдогарем","Giji Harem",#📝
