1,"Pray","#",#🎮
2,"Dishonored","#🎫",#🎮
3,"Far Cry 3","#🎫✴️",#✅
4,"Far Cry 4","#",#✅
5,"Far Cry 5","#🎫",#✅
6,"Far Cry New Down","#🎫",#✅
7,"Far Cry 6","#🎫",#🎮
8,"Metro 2033","#🎫",#✅
9,"Metro Last Light","#🎫✴️",#✅
10,"Metro Exodus","#🎫",#🎮
11,"Subnautica","#",#🎮
12,"Control","#🎫",#🎮
13,"Watch Dogs","#🎫",#✅
14,"Watch Dogs 2","#🎫",#🎮
15,"Watch Dogs Legion","#",#🎮
16,"The Witcher 3","#",#🎮
17,"Factorio","🎫",#🎮
18,"Satisfactory","#🎫",#🎮
19,"Portal","#🎫",#✅
20,"Portal 2","#🎫✴️",#✅
21,"Helltaker","#🎫✴️",#✅
22,"Grand Theft Auto V","#🎫",#🎮
23,"Scrap Mechanic","#🎫",#🎮
24,"Brethedge","#🎫",#🎮
25,"Death Stranding","#🎫",#🎮
26,"Enter the Gungeon","#🎫",#🎮
27,"Ghostrunner","#🎫",#🎮
28,"Ghostrunner 2","#🎫",#🎮
29,"The Last Of Us Part 1","#",#🎮
30,"The Last Of Us Part 2","#",#🎮
31,"Castle Story","#🎫",#🎮
32,"Detroit: Become Human","#🎫",#🎮
33,"Euro Track Simulator 2","#🎫",#🎮
34,"Forza Horizon 4","#🎫",#🎮
35,"Grand Thest Auto V","#🎫",#🎮
36,"PAYDAY 2","#🎫",#🎮
37,"Rust","#🎫",#🎮
38,"Despotism 3k","#🎫",#🎮
39,"Dying Light",#🎫,#🎮
40,"Half-Life","#",#✅
41,"Half-Life 2","#🎫",#🎮
42,"Internet Cafe Simulator","#🎫",#🎮
43,"Treasure Hunter Simulator","#🎫",#🎮
44,"Hotline Miami 2: Wrong Number","#🎫",#🎮
45,"Raft","#🎫",#🎮
46,"MiSide","#🎫✴️",#✅
47,"It Takes Two","#🎫",#🎮
48,"Firewatch","#🎫",#🎮
